assetFamilyIdentifier;code;s3link
JDphotos;JD_4893980584594_1;jd/images/4893980584594/4893980584594_1.jpg
JDphotos;JD_4893980584594_2;jd/images/4893980584594/4893980584594_2.jpg
JDphotos;JD_4893980584594_3;jd/images/4893980584594/4893980584594_3.jpg
JDphotos;JD_4893980584594_4;jd/images/4893980584594/4893980584594_4.jpg
JDphotos;JD_4893980584594_5;jd/images/4893980584594/4893980584594_5.jpg
JDphotos;JD_4893980584594_6;jd/images/4893980584594/4893980584594_6.jpg
JDphotos;JD_4059809046173_1;jd/images/4059809046173/4059809046173_1.jpg
JDphotos;JD_4059809046173_2;jd/images/4059809046173/4059809046173_2.jpg
JDphotos;JD_4059809046173_3;jd/images/4059809046173/4059809046173_3.jpg
JDphotos;JD_4059809046173_4;jd/images/4059809046173/4059809046173_4.jpg
JDphotos;JD_4059809046173_5;jd/images/4059809046173/4059809046173_5.jpg
JDphotos;JD_4059809046173_6;jd/images/4059809046173/4059809046173_6.jpg
